Year,Month,Day,Validity,Cause,Eq Magnitude,Country,Location,Latitude,Longitude,Max Water Height (m),Tsm Magnitude (Iida),Tsunami,ECountry,ELocation
1864.0,6.0,27.0,3.0,1.0,7.2,CANADA,"SW AVALON PENINSULA, NEWFOUNDLAND",46.5,-53.7,0.92,0.6,0,9,442
1865.0,1.0,8.0,3.0,1.0,7.2,PERU,CENTRAL PERU,-12.0,-77.1,2.0,1.0,0,59,67
1865.0,10.0,8.0,3.0,3.0,6.3,USA,N. CALIFORNIA,37.2,-121.9,0.92,0.6,0,78,269
1865.0,11.0,18.0,4.0,1.0,8.0,TONGA,TONGA ISLANDS,-19.5,-173.5,1.25,0.6,1,73,467
1866.0,1.0,2.0,3.0,1.0,6.6,ALBANIA,ALBANIAN COASTS,40.3,19.4,0.92,0.6,0,0,4
1866.0,1.0,6.0,3.0,0.0,7.2,ALBANIA,ALBANIAN COASTS,,,0.92,0.6,0,0,4
1866.0,2.0,6.0,3.0,1.0,6.8,GREECE,"S. COASTS PELOPONNESUS, GREECE",36.0,23.0,8.6,0.6,0,27,377
1866.0,3.0,6.0,3.0,1.0,6.3,ALBANIA,BAY OF VLORE,40.4,19.4,0.92,0.6,0,0,37
1867.0,2.0,4.0,3.0,1.0,7.4,GREECE,IONIAN SEA,38.39,20.52,0.92,0.6,0,27,171
1867.0,3.0,7.0,3.0,1.0,7.0,GREECE,LESBOS,39.2,26.4,0.92,0.6,0,27,218
1867.0,5.0,7.0,4.0,1.0,7.2,NORWAY,WESTERN NORWAY,58.667,6.167,0.92,0.6,1,55,489
1867.0,9.0,20.0,4.0,1.0,7.1,GREECE,"PELOPONNESUS, GREECE",36.4,22.2,6.0,0.6,1,27,341
1867.0,11.0,18.0,4.0,1.0,7.3,USA TERRITORY,VIRGIN ISLANDS,18.2,-65.0,15.2,2.3,1,79,478
1867.0,12.0,18.0,4.0,1.0,7.0,TAIWAN,E. CHINA SEA,25.34,121.91,15.0,2.0,1,71,100
1868.0,3.0,17.0,3.0,1.0,7.2,USA TERRITORY,VIRGIN ISLANDS,18.1,-65.1,1.5,-0.7,0,79,478
1868.0,4.0,3.0,4.0,1.0,7.9,USA,HAWAII,19.0,-155.5,13.7,4.3,1,78,156
1868.0,5.0,22.0,3.0,1.0,7.2,ITALY,LAKE GARDA,45.7,10.7,0.92,0.6,0,39,212
